c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0,1.8,0.74,41.67,10.83,31.67,16.5,2.33,51.83,42.33,46.67
0,1.76,0,38.33,20.17,30,20.17,1.83,38,40.5,41.67
1.46,1.78,0,36.66,15.34,30,16.33,2,34.33,39.67,55
1.83,1.65,1.7,35,16.66,26.66,15.17,2,52.83,38.17,33.33
0.8,1.84,1.68,33.34,16,33.33,21.17,2.5,35.17,39.67,31.67
0.9,1.96,1.95,41.67,21.17,35,20.83,2.5,38.67,40.33,45
1.53,1.89,1.71,38.33,21.66,33.34,14.17,2.67,43,53.33,33.33
0.96,2.11,0.97,46.66,16.5,38.33,16.83,3.17,59.17,44.5,38.33
0.08,1.92,0.7,43.34,20.67,40,15.67,2.33,47.84,44,45
0.8,1.51,1.23,30,18.16,31.67,11.83,1.33,42.84,37.67,33.33
0.48,1.03,0.73,28.33,15,28.34,18.83,1.17,56,32.33,33.33
0.45,0.83,0.6,20,11,26.67,12.5,2,48.17,26.67,38.33
0.22,0.77,0.97,15,11.67,25,10.5,1.17,38.33,29,28.33
0.2,0.73,1.51,15,9,28.34,14.5,3.17,54.67,22.83,21.67
0.27,0.7,1.3,13.33,9,30,20.17,1.17,55,20.33,28.33
0.18,0.7,2.25,20,9.17,35,10.5,5.17,49.66,22.17,21.67
0.22,0.77,1,18.33,13.83,35,9.67,4.33,63.66,24,21.67
0.25,0.94,3.88,38.33,18.67,43.33,14.33,5.33,73.5,36,28.33
0.6,1.16,2.32,46.66,15.33,55,22.83,5.17,60.83,41.5,35
0.85,1.33,3.77,51.67,10.34,68.34,25,4.33,56.5,51.33,43.33
0.63,1.5,3.26,51.66,9.83,55,29.17,4.33,54.5,51.5,61.67
1.1,1.55,2.6,51.66,24.84,51.66,20.17,3.5,53,51.67,51.67
0,1.59,2.55,50,17.5,46.67,20,3,55,49.83,50
0,1.56,2.67,46.67,20.34,36.66,18.5,2.17,52.17,41.67,45
0.4,1.59,2.55,40,22,35,18.17,1.83,41,43.5,41.67
0.43,1.56,1.73,40,26.5,30,16.17,2,33.84,40.5,48.33
1.92,1.57,2.49,38.33,21.83,26.66,16.17,1.83,38.67,40.5,38.33
0,1.46,1.98,33.34,20.17,35,20.67,2,38,37.83,35
1.13,1.62,2.7,36.66,25.17,33.33,20.33,2.5,41.34,38.33,35
1.03,1.73,2.74,36.66,28,36.67,14.33,2.17,39.5,44.17,36.67
0,1.68,3.41,36.66,24.33,35,14.83,2.17,39.67,44.33,40
0.57,1.86,3.8,41.67,22,35,17.33,3,51,45.17,36.67
0.77,1.7,2.07,38.33,24.16,38.33,15.83,1.67,45.33,40.83,40
0.95,1.34,2.55,31.67,22.34,33.33,12.17,1.17,37.67,35.17,33.33
0.77,1.1,2.3,23.33,17.67,30,18.17,1.5,52.67,25.83,30
0.8,0.89,1.86,21.67,13.17,33.33,13,1,49,22,38.33
0.4,0.82,2.93,15,13.5,23.33,10.5,1.17,43.5,22.67,35
0.22,0.78,2.56,13.33,10.84,26.67,12,3.33,51,19.67,21.67
0.23,0.75,4.15,15,11.5,23.33,20,2.17,56.17,29.83,30
0.3,0.75,2.57,18.33,12.17,26.67,9.67,3.5,58.84,30.67,20
0.27,0.82,2.43,18.33,12.84,35,9.5,1.83,57.16,19.83,21.67
0.28,1.01,3.87,26.67,18.34,36.67,10,3.5,64,20.17,21.67
0.28,1.24,2.32,33.33,17,33.33,16,4,41.5,30.17,28.33
1.85,1.42,3.01,45,15.33,36.67,20.33,1.5,43.34,39.33,38.33
1.68,1.6,3.32,51.66,20.33,38.33,27.83,2.83,43.67,50.17,50
0.27,1.66,2.59,56.67,28.67,36.66,20.17,3.5,46.5,53.5,51.67
0,1.7,2.25,51.67,26,33.34,20.17,3,50.33,50.17,51.67
0.1,1.67,2.86,45,22.34,31.67,17.83,2.67,43.17,45.67,46.67
0.32,1.7,2.35,45,18.84,26.66,17.67,2.33,35.67,42.67,45
0.98,1.67,2.05,38.33,25.33,25,14.17,1.5,34.33,39.5,43.33
1.02,1.68,1.91,35,18.5,25,14.5,1.5,27.33,37.33,38.33
0.86,1.56,2.58,33.34,18.33,20,20.67,1.67,31,33.83,36.67
0.3,1.73,2.43,33.33,19.66,30,20.83,2.83,37,36.67,36.67
1.75,1.85,4.16,31.67,21.83,33.33,13.67,3.33,44.5,42.33,41.67
1.25,1.79,1.5,40,23.34,36.67,14.17,2.83,34.83,42.83,40
0,1.99,1.05,40,22.17,33.33,15.33,3.5,43.83,42.33,36.67
0.98,1.82,0.82,40,22.16,40,14.67,2.33,41.67,42.17,40
1.32,1.43,0.88,31.67,21.67,35,11.67,1.5,30,32,36.67
0.62,1.32,1.8,23.33,17.66,28.34,18,1.33,39.66,26.33,33.33
0.85,1.07,1.15,20,14.34,31.66,13.33,2.33,35,23.67,40
0.15,0.99,1.58,15,13.16,23.33,10,1.5,36,22.5,30
0.27,0.94,2.23,15,12.17,26.67,14.5,3.33,54.83,23,26.67
0.17,0.91,3.64,15,11.34,28.34,13,2.5,51.83,21,28.33
0.22,0.91,2.68,21.67,11.83,38.33,10,5.33,57,23,21.67
0.17,0.99,3.48,20,15.67,35,9.67,4.17,75.33,31.5,21.67
0.28,1.21,2.35,38.33,21.5,41.67,13,4.33,73.67,35.83,28.33
0.87,1.49,1.41,45,24.17,50,25.17,4.67,68.84,45.83,40
0.6,1.71,1.58,66.67,30.84,63.33,28.17,3.17,55.5,55.83,41.67
0,1.93,1.67,56.66,36,48.34,28.33,4.67,61.83,53,53.33
1.23,1.99,1.95,50,36,51.66,19.83,4.83,60.83,51.17,46.67
1.85,2.04,0.68,50,30,48.33,20.33,5.5,60,49.33,46.67
1.25,2,0,48.33,27,38.33,19.5,7.67,50.84,44.67,43.33
0,2.04,0,41.67,20.5,33.34,18.5,6,36.33,42.67,51.67
0,2,1.05,40,23.83,30,15.17,2.17,34,42.83,41.67
0.62,2.02,0.47,36.66,20.34,28.33,16.67,3,33.66,39.67,40
1.38,1.87,0.58,31.67,22.17,31.67,14.83,1.83,35.83,36.17,33.33
1.19,2.09,1.55,30,24.5,30,20.5,2.17,39.84,37,35
0.93,2.23,0.75,35,23,33.34,20.67,2.5,33.5,38.33,41.67
0,2.15,0.85,36.66,23.16,33.34,14.5,2.17,42.67,40.33,35
0,2.39,1.17,36.66,20.83,36.67,14.83,2.17,47,42.17,40
1.25,2.18,1.28,36.66,21.5,33.34,13.67,2,39,40.5,43.33
1.35,1.72,1.12,25,20.5,28.33,11.17,1.67,50.33,32.83,33.33
0.7,1.57,0.65,20,16.84,28.34,17.67,1.17,53,26.33,30
0.37,1.29,0.28,18.33,13,31.66,9.67,1.17,47,22.67,36.67
0.35,1.12,1.11,13.33,13.66,23.33,6.33,1.17,54.17,21.83,31.67
0.33,1.09,1.45,8.33,10.16,25,6.67,1.67,49.5,20.67,18.33
0.37,0.99,3.05,8.33,11.17,23.33,13.17,2,45,19.83,28.33
0.28,1,1.25,11.66,12.67,26.67,6,0.83,65.67,22.67,18.33
0.48,1.06,1.57,13.33,15.33,31.66,6.5,1.33,60.5,29.5,18.33
0.6,1.2,2.75,16.67,16,31.66,7.67,3.17,38.16,23,25
0.53,1.39,0.91,28.33,17.83,38.33,13.33,3.5,39,32,28.33
0,1.82,1.71,41.67,18,38.33,19,2,37.83,42,38.33
0,2.33,0.78,50,21,40,25.17,2.5,41.83,51.83,48.33
0.18,2.8,1,51.66,19,41.67,21.83,2.5,37.67,51.67,55
1.38,2.79,0.62,46.67,25.34,31.67,19.83,2.33,49.5,53,50
0.2,2.98,0.55,38.33,21.83,30,18.33,2.83,35.33,46.17,43.33
1.02,2.82,0.58,40,24,26.66,15.83,2.5,39.66,42.83,40
0,2.33,0.3,36.66,21,26.66,15,2,31.5,40.33,41.67
1.25,2.53,0.76,35,21,23.34,14.17,1.67,29.67,38.17,38.33
1.17,2.09,1.29,35,16.83,21.67,20.67,1.33,30.67,33.33,31.67
0.75,2.04,0.73,35,20,28.33,20.83,2.33,33.67,38,38.33
1.47,2.33,0.62,33.34,19.34,28.33,12.17,2.17,39.17,38,35
0.71,2.4,0.87,36.66,21.66,35,12.5,1.83,37.5,40.33,31.67
0,2.36,0.42,38.33,22,31.67,13.17,2,39.84,41,33.33
0.39,2.28,0.25,33.33,21.83,31.67,13.33,2.17,41.83,38.33,40
0.8,1.67,1.22,26.67,18.83,26.66,11.33,1.33,33.33,36.67,30
0.48,1.6,0,20,16,26.67,18,1.17,37.83,29.5,23.33
0.4,1.38,0,13.33,13,31.66,8,1.5,35.34,23.5,36.67
0.33,1.24,0.4,10,13.17,23.33,6,1,41.67,22,38.33
0.52,1.22,0.67,8.33,10.17,26.67,6.83,2.5,48.67,20.33,20
0.32,1.15,1.02,6.66,11,23.33,13,1,40.83,17.5,28.33
0.33,1.1,0.25,8.33,12.17,26.67,5.83,1,46,14.67,18.33
0.32,1.09,1.95,6.66,15.83,30,5.83,1.83,45,14.33,20
0.35,1.35,2.05,11.67,14.16,35,7.17,6.5,38.34,18.5,15
0.62,1.39,0.15,23.33,17.67,31.67,12.17,4,26,25.67,21.67
1.1,1.9,1.62,36.66,14.84,35,18.33,5.5,50.83,38.5,35
1.42,2.35,1.2,50,21.33,31.67,24.17,2.83,38.84,47.33,43.33
0.99,2.76,1.08,55,26.5,31.67,18.67,3.17,48.34,54,50
1.15,2.6,0,55,23.5,33.34,20,4.17,46.66,49.83,50
0.6,2.7,0.55,48.34,18.84,31.67,19.67,2.83,40,49,48.33
0.05,2.45,0.18,45,20,25,18.17,2.5,35,47.83,46.67
0,2.46,0,41.67,22.83,26.66,14.17,2.5,36.17,41.67,41.67
1.25,2.07,0.17,35,20,21.67,13.5,2,29.84,39.33,45
0.95,2.21,0.86,33.34,16.67,25,21,1.5,35.34,35.83,35
1.47,2.42,1.48,35,20.84,28.33,20.67,2.83,36,38.67,36.67
0.26,2.41,0.14,41.67,22.67,30,14.5,2.5,36.33,40.67,41.67
1.58,2.73,2.03,45,24.33,31.67,14.33,2.67,64.5,42.67,41.67
0.26,2.46,2.39,43.34,22.83,35,16.67,3,50,43.17,40
0.24,2.15,0.42,43.34,23.5,40,15,2.5,38,46,45
1.37,1.97,2,31.66,22.33,28.33,12,1.67,40.67,35.83,33.33
0.77,1.39,2.07,25,16.66,30,18.33,1.5,50.33,26.83,28.33
0.27,1.13,1.69,20,12.84,30,13.17,2.33,48.5,26.17,41.67
0.43,1.04,0.07,13.33,12.83,21.67,10.33,1.17,56.5,22.83,36.67
0.33,0.99,0,13.33,10.67,30,13.83,3.33,44.5,24.17,21.67
0.27,0.95,1.45,13.33,11.33,30,13.17,2.17,42.84,21.5,30
0.2,0.95,2.4,18.33,11,36.67,10.17,5.17,67.66,24,25
0.32,1.04,2.39,20,15.5,36.67,9.83,4.17,76.16,30.5,21.67
0.53,1.28,2.81,38.33,19.83,46.66,13.83,5,60.66,35.17,28.33
0.97,1.57,0.76,41.66,27.66,60,24.83,5,72.34,46,43.33
0,1.8,1.3,66.67,27.83,63.33,27.67,4.17,73,54.83,48.33
0,2.03,1.06,58.33,36,55,28.67,4.17,58.66,56.33,65
0.24,2.1,1.23,58.33,39.33,58.34,21,5,67.83,59.5,48.33
1.23,2.15,1.16,56.67,34.34,50,20.83,5.67,46.66,51.67,51.67
1.23,2.11,1.2,45,28.83,45,19.33,5.33,45.5,57,48.33
0,2.15,1.27,43.33,24.16,40,18.67,2.83,41,51,51.67
1.33,2.11,0.8,41.67,29,33.34,16,2.67,44.83,44,43.33
0,2.13,0.99,41.67,24.5,31.67,17.5,2.67,43.84,41.83,41.67
1.3,1.97,0.34,36.66,22.17,31.67,16,2.17,37.83,39,36.67
0.84,2.2,1.5,35,24.83,36.67,23.33,3.5,38,49.83,46.67
0.98,2.35,1.35,36.66,28.17,38.33,21.83,3.17,42.67,44.33,40
0.52,2.27,2.27,38.33,27.34,36.67,14.5,3.33,40.83,44.17,36.67
0,2.52,1.12,41.67,26.17,36.67,18,3.17,45,46.5,43.33
1.07,2.3,0.97,41.67,26.67,36.66,16.83,3.33,60.66,45,45
1.08,1.81,1.1,30,23.34,31.67,12.5,2.17,48.33,37.83,35
0.62,1.16,0.47,25,18.83,26.67,19,1.83,39,29.17,28.33
0.67,0.94,0.47,21.67,14.34,30,12.5,1.83,41.83,26,33.33
0.47,0.86,1.05,18.33,12.67,23.33,9.5,1.83,45.67,19.17,30
0.5,0.82,0.82,13.33,11.83,26.67,10.83,4,44.5,15.67,18.33
0.28,0.79,2.43,13.33,13.34,26.67,10.67,3,42.83,18.33,20
0.3,0.79,1.1,18.33,13.34,30,8.17,2.33,47.66,21.17,23.33
0.45,0.86,2.02,20,15.84,33.33,9.17,5,49.84,25.17,21.67
0.53,1.06,3.02,36.67,22,36.67,12,5.33,52.67,30,26.67
0.97,1.3,1.49,43.33,26.66,43.34,22.5,5.5,53.17,52.33,33.33
1.08,1.5,2.03,55,32.33,56.67,24.67,3.33,61.33,56.67,58.33
0,1.69,0.12,50,34.83,63.33,20,4.67,55.5,57.83,55
0,1.74,1.76,51.66,38,58.33,20.33,3.33,44,57,53.33
0,1.79,2.4,43.33,30.05,46.66,19,3.5,39.67,49.5,46.67
0.11,1.75,0.93,41.67,26.33,40,18.83,6.5,35.67,46.83,40
1.53,1.79,0.7,41.67,24.84,36.67,19.83,6.83,43.67,46.83,41.67
0.93,1.75,0.42,38.33,25,33.34,16.33,2.83,43.5,45.33,55
1.23,1.77,0.68,36.66,26.83,33.34,17.5,2.83,44.5,41.83,35
0.95,1.64,0.99,36.66,22.17,30,15.67,2.67,35.17,38.67,36.67
0.87,1.82,1.28,35,25.16,36.66,21.5,3.83,36.5,43.83,33.33
1.1,1.95,1.23,35,28.33,35,20.67,2.83,43.67,42.83,36.67
0.74,1.88,2.95,36.66,28.83,35,14,3,51.5,44.83,46.67
0.86,2.09,1.06,45,24,38.33,18.17,3.5,50,48.17,41.67
1.05,1.91,1.33,41.67,27.66,33.34,16.67,3,46.34,47.17,46.67
0.57,1.5,1.13,31.67,23.33,28.33,12.83,2,44.33,37.33,33.33
0.7,1.03,0.86,25,20,33.33,21,1.67,56.66,32.83,26.67
0.35,0.83,0.03,20,14.33,31.66,13.5,2.67,52.67,23.17,36.67
0.33,0.77,1.24,15,13,23.33,10.83,2.67,60.5,23.67,35
0.43,0.73,1.94,15,11.34,28.34,15.17,4.83,44.83,25.5,23.33
0.33,0.7,3.22,16.66,10.83,31.66,12.33,1.83,45.84,22,25
0.45,0.7,0.95,21.67,11.5,35,10.83,4.17,55.16,22.83,20
0.43,0.77,2.3,21.67,15.17,33.33,9.5,4.83,60,36,21.67
0.48,0.94,2.66,40,22.33,46.66,13.83,5,56.5,33.83,26.67
0.88,1.16,1.48,46.67,30.66,60,24.17,5.5,54.83,46.67,35
0,1.33,1.85,53.34,34.67,61.66,29.83,7,63.17,54.67,43.33
0,1.5,1.25,53.33,35.17,51.66,22,4.33,54.16,62.83,45
0,1.55,1.6,51.66,36.83,53.33,20,4,54.83,63.5,58.33
0,1.59,1.25,43.33,30.5,48.34,20.17,3.67,48.5,52.33,41.67
1.63,1.56,1.19,46.66,28.5,36.67,19.5,3.33,45.16,47.67,40
1.62,1.59,1.57,41.67,27.16,33.33,18,3.5,52.83,47.33,38.33
1.32,1.56,1.97,38.33,28.83,31.67,18.83,2.5,41.83,46.83,43.33
0.58,1.57,1.17,35,24.5,30,16,2.5,38,44.33,50
1.47,1.45,0.8,33.34,21.83,31.67,14.33,2.33,36.34,42.17,40
0,1.62,1.13,35,23.5,30,19.83,3.17,48.33,43.5,35
0.32,1.73,1.17,40,27.34,38.33,21.17,1.67,47.84,47.17,38.33
0.85,1.67,1.59,40,26.34,38.33,14.17,2.67,41.5,53.17,36.67
0.31,1.86,1.47,45,22.17,35,17.67,2.67,54.34,47.33,43.33
1.55,1.7,0.91,41.67,25,36.66,15.67,2,46.34,47.83,43.33
0.75,1.34,1.25,30,23.83,31.67,12,1.33,41.5,39.83,36.67
0.9,1.11,0.93,28.33,21.67,28.34,21.33,1.33,52.17,34,38.33
0.92,0.9,0.63,26.66,17,31.66,15.5,1.33,57.67,30.17,45
0.43,0.83,1.61,16.67,14,21.66,10.5,1.17,50,23.5,30
0.28,0.79,1.43,13.33,12.34,25,14.33,3.17,45.34,20.83,20
0.32,0.76,3.06,13.33,12.83,21.66,12.83,2,54.5,21.33,25
0.4,0.76,0.84,18.33,12.83,23.33,9.83,1.83,53,21.83,18.33
0.37,0.83,2.27,20,15.17,30,10.5,4.17,57.83,26.17,21.67
0.5,1.01,2.95,35,21.34,38.34,13.17,4,64.84,33.5,30
1.33,1.24,0.82,46.67,28.67,45,24.17,4,56.5,60.67,35
0,1.43,1.3,61.67,34,55,27.33,2.67,56.17,56.33,56.67
0,1.61,0,51.66,36.17,51.67,21.67,2.83,53,57,60
0,1.67,3.4,50,37.33,50,20.5,2.33,57.16,57.83,51.67
0.83,1.71,3.27,46.67,29.84,50,20.17,2.5,56.17,58,48.33
0.05,1.68,1.17,41.67,28.33,41.66,19.17,3.67,49,50.5,41.67
1.17,1.71,3.1,40,23.5,36.66,18.17,2.33,43,49,51.67
1.23,1.68,1.06,40,24.66,38.33,15.83,2.5,41.17,47.17,43.33
1.1,1.69,1.13,35,26.17,28.33,16,2.17,38,44,38.33
1.08,1.56,0.3,31.67,20.83,28.33,14.5,1.83,36.17,38.67,35
0,1.74,0.7,35,25.17,33.34,21,2,40.5,47.83,41.67
1.45,1.86,0.72,38.33,27,36.67,20,2,47.17,47,45
0,1.8,1.7,38.33,25.17,38.33,14.33,1.83,35.67,46.17,36.67
0.02,2,1.11,43.33,24,40,17.33,2.5,48.84,47.5,41.67
1.88,1.83,1.05,40,24.5,38.33,15.67,2,50.5,46,46.67
1.3,1.44,0.92,31.67,24.33,30,11.67,1.67,47.34,36.5,33.33
0.43,1.33,0.85,23.33,18.66,28.34,19.33,2,39.5,30.5,25
0.63,1.08,0.8,20,13.5,30,13.67,2.17,32.17,25.33,38.33
0.43,1,1.4,13.33,13,18.33,11.17,2.33,39,24.33,38.33
0.27,0.94,1.8,11.66,12.33,26.67,16,4.33,51,24.33,23.33
0.35,0.91,3.62,11.66,11.17,28.34,13,2.33,49.5,22.67,25
0.37,0.91,1.15,16.67,11.83,38.34,10.5,3.5,55.17,23,21.67
0.38,1,2.52,18.33,16.33,30,9.17,4.17,72,36.17,23.33
0.63,1.22,2.38,35,22.34,41.67,14.33,4.33,67,36.83,28.33
1.05,1.5,1.4,41.66,29.67,48.34,23.83,5,63,49.5,41.67
0,1.72,1.43,56.66,31.5,55,28.17,3.67,72.5,60.67,51.67
0.07,1.94,0.49,51.66,43.17,53.33,27.67,3.33,56.66,59,53.33
0,2.01,1.75,51.67,38,55,22,3.17,68.5,56.67,63.33
1.47,2.06,1.42,51.67,33.67,51.66,21,4.17,63.83,53.83,48.33
1.15,2.02,1,41.67,30.17,43.34,20,2.67,53.5,53.67,45
0.42,2.06,1.06,43.33,22.33,35,18.33,4.83,38.5,48.33,41.67
1.07,2.02,0.63,43.33,27.33,33.34,16.33,2.17,42.5,46.83,51.67
1.72,2.03,0.55,41.67,24.34,26.66,18,2.17,36,43.67,40
1.25,1.88,0.43,36.66,22,28.33,15,2,35.83,39,36.67
1.22,2.1,1.09,36.66,26,33.33,22.33,2.17,37.66,42,40
1.4,2.24,0.55,40,26,36.67,20.5,1.83,50.84,49.83,36.67
1.42,2.17,0.87,38.33,24.33,33.33,14,1.67,48.33,42.17,36.67
0.87,2.41,0.55,38.33,23.17,38.33,15.83,2.67,56.17,44.17,40
1.07,2.2,0.71,38.33,24.84,35,13.33,2,41,44.5,41.67
0.9,1.73,1.2,26.67,21.83,28.33,11.67,1.5,46.84,41.83,36.67
0.5,1.58,0.77,23.33,17.5,26.67,17.67,2,51,27.5,25
0.52,1.29,0.5,20,13.83,26.67,8.5,1.17,52.5,25.83,38.33
0.57,1.12,0.97,13.33,13.17,20,6.83,1.17,56.17,24.5,31.67
0.52,1.09,1.53,8.33,11.17,26.67,7.33,1.67,45.67,20.67,21.67
0.27,0.99,3.02,6.66,10.5,23.33,14,2,44.67,20.5,21.67
0.28,1,0.9,10,11,25,5.67,1,63.34,22.5,15
0.35,1.07,1.93,10,13.17,28.34,6.5,1.67,62.17,23.33,21.67
0.33,1.2,2.9,18.34,14.5,30,7.67,4.17,42.5,23.67,21.67
0.95,1.39,1.26,28.33,14.5,38.34,12.33,4.33,49.17,33.17,31.67
1.22,1.82,1.77,43.33,21,41.67,18.67,3,45,45,38.33
0,2.33,1.15,55,28,45,25.33,2.67,48.83,56,50
0,2.81,1.56,56.67,34.67,41.67,18.83,2.5,44.83,58,53.33
0.09,2.8,1.29,51.67,29.33,38.33,19.33,2.83,44.67,53.67,53.33
0,2.99,1.62,43.34,22.83,31.67,19.17,2.5,38.83,50.67,43.33
0.37,2.82,0.8,46.66,20.83,30,18.83,2.5,35.33,48.83,45
0,2.34,1.05,41.67,21.83,28.33,14.67,2,39.16,45.33,43.33
1.22,2.54,0.62,36.66,21.16,25,15,1.67,33.67,42.33,40
1.13,2.1,0.49,35,21.17,21.67,20.67,1.5,28.33,44.17,35
1.23,2.05,2.19,38.33,20.16,26.67,22.17,1.83,39.67,45.17,45
1.02,2.34,0.48,35,23,31.67,12.83,1.67,35.66,47.33,38.33
0.97,2.41,0.37,36.66,22.16,28.33,13.33,2.17,34,43.5,38.33
0.73,2.37,0.57,38.33,22.5,28.33,13.5,2.83,40.67,39.83,36.67
0.98,2.29,0,33.33,19.84,35,12.67,2.17,37.34,38.83,36.67
0.58,1.68,0,26.67,20.33,23.34,10.17,1.17,33.83,33,30
0.68,1.6,0.62,21.66,16,25,17.33,2,31.67,27.83,30
0.45,1.37,0.64,15,13.83,28.34,7.83,1.33,33,24.5,30
0.48,1.24,1.87,8.33,14.5,20,6,1,27.17,24.33,35
0.43,1.22,1.33,8.33,11.66,25,6.5,2.5,31.33,20.83,16.67
0.27,1.15,3.03,6.66,11.67,25,12.5,1,36.17,19.17,18.33
0.3,1.1,0.72,10,12.84,23.33,5.67,1,24.66,25.33,11.67
0.33,1.09,1.63,8.33,16.16,30,6,1.83,40,15.83,11.67
0.52,1.35,2.45,11.67,14.34,28.34,6.67,3.67,32.84,18,13.33
0.87,1.39,0.8,23.33,15.67,25,10.83,5,29.16,28,20
1.08,1.9,1.2,36.66,18.33,33.34,16.83,2,31.84,39.17,33.33
0,2.35,0.78,43.33,21.66,31.67,24,2.67,34.5,46.83,43.33
0,2.76,0.76,51.67,32.67,33.34,19.5,2.5,53.5,56.33,51.67
0.16,2.59,1.2,50,27.33,35,20.17,2.83,55.16,55,51.67
0.17,2.7,0.64,48.33,24.17,31.67,19.33,2.67,48,54,48.33
0,2.45,0.6,48.33,20.34,28.33,19,2.33,45,51.17,45
0,2.45,0.41,45,25.16,26.66,15.17,2.17,36.83,45.17,43.33
1.12,2.07,0.25,40,21.66,26.66,10.17,2,31.5,47.83,41.67
0.88,2.21,0.92,35,19,23.34,8.83,2.67,33.5,47.33,36.67
1.88,2.42,0.9,35,21,26.66,10,2.83,31.5,45.5,38.33
0.29,2.41,0.7,40,25,30,10.17,2.5,37.34,45.83,40
1.42,2.72,0.62,38.33,26.17,33.34,9.33,2.67,62.83,45.83,38.33
1.42,2.45,0.63,45,25.17,36.67,12,3.33,51,48.33,41.67
0.91,2.15,0.68,40,26.5,35,13.33,2.33,42.16,47.5,46.67
0.75,1.97,1.4,30,23.83,26.66,8.17,2,49.16,35.5,35
0.75,1.38,1.83,23.33,19,28.34,7.5,2.17,47.5,28.83,26.67
0.37,1.12,0.72,16.67,15.17,25,11.17,2.17,53.33,25.33,33.33
0.38,1.04,1.03,10,13.17,18.33,8.83,2.17,64,24.5,31.67
0.3,0.98,1.6,11.66,12.33,26.67,13.5,4.33,46.84,26.33,20
0.27,0.95,3.93,11.66,12.17,28.34,10.83,2.17,49.83,24.17,20
0.27,0.95,1.58,18.34,12.16,31.66,8,3.5,64.33,26.83,15
0.3,1.04,3.42,21.67,16.5,26.67,9.67,6.5,74.34,27,16.67
0.52,1.27,3.1,41.67,23,43.33,17.83,8.33,61.17,37.67,28.33
1.05,1.56,1.05,45,40.83,63.33,24.17,6.33,73,57.83,38.33
1.43,1.79,2.01,53.34,42.33,61.66,28.17,3.33,67.5,55.5,40
1.12,2.02,1.12,50,32.5,45,21.67,3.83,54.67,55.67,50
0,2.09,1.04,46.67,38,43.34,19.17,3.17,56.83,55.33,61.67
0,2.14,0.5,43.34,33.33,38.33,19.17,3.33,61.33,51.83,40
0,2.1,1.08,40,33.67,35,17.83,2.83,44,47.67,43.33
0.34,2.14,1.07,40,30.5,35,18.33,2.5,50.34,51,40
0.03,2.1,0.7,41.67,31.33,38.33,20.33,2.67,220.33,47,41.67
1.33,2.12,0.81,40,29,33.34,17.33,2.67,43.15,45.83,48.33
1.15,1.96,0.77,35,21.5,28.33,15.67,2.33,48.83,42.67,35
1.45,2.18,0.8,31.67,25,30,21.5,2.33,122,41,38.33
1.02,2.33,0.29,35,29.17,26.66,21.17,1.67,43.69,41.33,36.67
0.19,2.25,0.52,36.66,27.66,28.33,14.33,2.33,41.72,43.5,36.67
0,2.51,0,43.34,28.17,33.34,16.67,3.33,48.96,50.17,43.33
1.12,2.29,0.5,43.34,29.5,33.34,15.83,2.83,149.84,51.5,46.67
1.07,1.8,0.58,30,24,28.33,12.67,2,45.84,38,41.67
0.67,1.15,0,25,21.16,25,18.5,2.33,42.67,30.17,26.67
0.65,0.93,0.08,20,15.17,23.33,11.17,1.67,39.5,25.67,31.67
0.58,0.86,1.5,15,13.83,18.33,9.33,1.5,39.5,19.33,28.33
0.28,0.82,0.8,13.33,11.84,21.67,11.33,3.17,38.17,16.17,20
0.28,0.79,2.93,13.33,12,21.67,10.17,2.33,38,29.17,16.67
0.35,0.79,0.78,18.33,13.33,20,7.67,1.67,35,31.33,18.33
0.37,0.86,1.56,20,16.83,23.33,8.83,2.5,37.83,26.83,23.33
0.62,1.05,2.85,40,24.34,36.67,12.17,4.17,40.5,34.33,28.33
1.07,1.29,0.8,43.33,36.33,50,22.83,5.67,50.83,48,38.33
0,1.49,2.15,50,39.83,53.34,25,4.17,46.17,58.33,51.67
0,1.68,1.22,53.33,44.5,50,23.33,4.17,55.5,62,50
1.02,1.73,1.14,50,45,58.34,20,3.17,59.16,58.17,50
0.26,1.78,1.31,48.33,37.83,46.67,19.5,3.67,51.66,57,51.67
0.09,1.74,0.89,43.34,37.17,38.33,17.67,4.17,49.33,54.67,45
0.77,1.78,0,43.33,28.5,38.33,18.33,4,46.66,50.83,53.33
0.82,1.74,0.15,45,32.83,38.33,18.83,2.83,41.66,51.83,51.67
1.12,1.76,0.33,41.67,30.17,33.34,19.33,3.33,49.67,47,48.33
1.32,1.63,0,38.33,24.5,31.67,17,3.17,40.83,46,41.67
0,1.81,0,36.66,27.33,33.34,21.83,2.83,44,44.17,48.33
1.63,1.94,0.7,35,30.16,31.67,20.67,2.17,44,55.67,41.67
1.12,1.87,1.93,36.66,29.67,36.66,14.5,2.33,41.16,46.67,38.33
1.45,2.08,0.85,46.67,32.33,36.66,19.17,2.83,57.67,54.67,46.67
0,1.9,0.24,43.34,32.5,33.34,17.17,2.5,49.67,53.17,48.33
1.02,1.5,0.69,31.66,27.17,26.66,12.5,1.83,41.5,38.33,40
0.77,1.03,0.9,23.33,23,28.34,19.33,2.33,38.84,29.17,23.33
0.55,0.83,0.23,18.34,16.34,25,12.5,2.17,35.5,25.17,28.33
0.4,0.77,1.07,15,14,21.66,10.5,2.17,42.5,22.33,33.33
0.37,0.73,1.62,13.33,13.5,26.67,16,4.17,41.17,25.17,18.33
